id,filename,line_number,organization_name,city_state,organization_type,position_held,from_date,to_date,staffer_id,organization_id,organization_slug,pfd_endnote
"3528","643","2","Barbaricum","Washington, District of Columbia","Corporation","Director of HR/ Security","2013-03-16","2016-12-16","655","3509","barbaricum-llc",""
"3529","644","1","Kirkland & Ellis LLP","Washington, District of Columbia","Law Firm","Partner","2009-05-16","2017-01-16","656","988","kirkland-ellis-llp",""
"3530","645","1","The Dartmouth Review","Hanover, New Hampshire","Non-Profit","Board Member","2008-09-16","2017-02-15","657","7207","the-dartmouth-review",""
"3532","646","2","Donald J. Trump for America, Inc.","New York, New York","Political Campaign Committee","Senior Advisor","2016-08-16","2016-11-15","658","12","trump-for-america-inc",""
"3533","646","3","TGP Securities, Inc.","New York, New York","Broker-Dealer","Managing Director of Business and Legal Affairs","2013-07-16","2017-01-16","658","3521","tgp-securities-inc",""
"3534","646","4","Strategy International LLC","Princeton, New Jersey","Consulting","Consultant","2009-05-16","2017-01-16","658","7208","strategy-international-llc",""
"3535","646","5","Prime Health Services","Brentwood, TN, Tennessee","Corporation","Board Member/Adviso r","2014-02-15","2017-01-16","658","3522","prime-health-services",""
"3536","646","6","ISA Internationale, Inc","St. Paul, Minnesota","Corporation","Advisor","2010-07-16","2017-01-16","658","7209","isa-internationale-inc",""
"4059","731","1","Conservative Action Network","Washington, District of Columbia","Non-Profit","Deputy Director (Helping create strategic partnerships with other nonprofits, form the branding for the organization, identify state and local leaders for our organization, develop the website and other messaging, write the strategic plan, and implement the office budget and other administrative items)","2016-08-16","","744","3980","conservative-action-network",""
"3538","647","2","Right to Rise PAC","Miami, Florida","Political Action Committee","Advisor","2015-05-16","2015-06-16","659","3548","right-to-rise-usa",""
"3539","647","3","Jeb Bush Presidential Campaign","Miami, Florida","Political Campaign","Advisor","2015-06-16","2016-02-15","659","148","jeb-2016-inc",""
"3540","647","4","Univision","Doral, Florida","Corporation","Radio Host","2012-07-16","2015-01-16","659","3545","univision",""
"3542","647","6","South Florida PBS Inc.","North Miami Beach, Florida","Non-Profit","Television Host","1999-08-16","2015-08-16","659","7211","south-florida-pbs-inc",""
"3543","647","7","HAF Media LLC","Miami, Florida","LLC","manager/princi pal","2008-03-16","2017-01-16","659","3544","haf-media-llc",""
"3544","648","1","Drone Aviation Holding Corp.","Jacksonville, Florida","Corporation","Board Member","2016-04-16","2016-12-16","660","3549","drone-aviation-holding-corp",""
"3545","648","2","GreenZone Systems Inc.","Arlington, Virginia","Corporation","Board Member","2014-11-15","2016-12-16","660","7212","greenzone-systems-inc",""
"3546","648","3","HALO Privacy LLC","Seattle, Washington","Corporation","Board Member","2015-10-16","2016-12-16","660","7213","halo-privacy-llc",""
"3548","648","5","Patriot Capital LLC","Orlando, Florida","Corporation","Advisory Board Member","2015-08-16","2016-12-16","660","7214","patriot-capital-llc",""
"3549","648","6","X-Co Dynamics Inc./Iron Bridge Group","Washington, District of Columbia","Corporation","Board Member, Consultant","2015-08-16","2016-12-16","660","7215","x-co-dynamics-inc-iron-bridge-group",""
"3550","648","7","Quaestor Federal Consulting LLC","Springfield, Virginia","Corporation","Advisor","2015-10-16","2016-09-16","660","3552","quaestor-federal-consulting-llc",""
"3552","648","9","Flynn Intel Group LLC","Alexandria, Virginia","Corporation","Member","2014-10-16","","660","3551","flynn-intel-group-inc","Flynn Intel Group LLC became inactive in December 2016."
"3553","648","10","Adobe Systems Inc.","Palo Alto, California","Corporation","Advisory Board Member","2015-02-15","2016-12-16","660","3553","adobe-systems-inc",""
"3554","648","11","OSY Technologies SARL","Luxembourg, Outside U.S.","Corporation","Advisory Board Member","2016-05-16","2017-01-16","660","3554","osy-technologies-sarl",""
"3555","649","1","In Pursuit Of, LLC","Arlington, Virginia","Corporation","Editorial Director","2016-12-16","2017-01-16","661","3575","in-pursuit-of-llc",""
"3556","649","2","Freedom Partners Chamber of Commerce","Arlington, Virginia","Non-Profit","Director of Writing","2013-11-15","2016-12-16","661","1836","freedom-partners-chamber-of-commerce",""
"3557","65","1","Tulsa Area United Way","Tulsa, Oklahoma","Non-Profit","Campaign Account Specialist","2017-02-15","","66","3578","tulsa-area-united-way",""
"3558","65","2","The Key Group Inc","Tulsa, Oklahoma","Corporation","Loaned Executive- Temp for Tulsa Area United Way","2016-08-16","2016-11-15","66","7216","the-key-group-inc",""
"3559","65","3","Charlestons","Norman, Oklahoma","Corporation","Cook","2016-06-16","2016-08-16","66","7217","charlestons",""
"3560","65","4","Oklahoma Alpha Phi House Association","Norman, Oklahoma","Sorority House Kitchen","Kitchen Staff","2015-09-16","2016-05-16","66","7218","oklahoma-alpha-phi-house-association",""
"3561","651","1","Telion Events, Corp","Boca Raton, Florida","Corporation","President","2000-04-16","2017-01-16","663","7219","telion-events-corp",""
"3563","652","2","Donald J. Trump for President, Inc.","New York, New York","Presidential Campaign","Education Policy Adviser","2016-08-16","2016-11-15","664","1016","donald-j-trump-for-president-inc",""
"3564","653","1","State Attorney's Office","Miami-Dade, Florida","State Prosecutor's Office","Assistant State Attorney","2012-08-16","2016-11-15","665","3579","state-attorney-s-office",""
"3565","653","2","Trump for America","Washington, District of Columbia","Non-Profit","Deputy Director","2016-08-16","2017-01-16","665","12","trump-for-america-inc",""
"3566","654","1","Institute of World Politics","Washington, District of Columbia","University/Colle ge","Vice-President & Professor","2016-08-16","2017-01-16","666","3580","institute-of-world-politics",""
"3567","654","2","Marine Corps University Foundation","Quantico, Virginia","Non-Profit","Major General Horner Distinguished Chair of Military Theory","2014-09-16","2016-09-16","666","2084","marine-corps-university-foundation",""
"3569","654","4","Breitbart News Network","Los Angeles, California","Corporation","National Security Editor","2014-04-16","2017-01-16","666","3352","breitbart-news-network",""
"3570","654","5","Threat Knowledge Group","McLean, Virginia","Corporation","Chairman","2010-12-16","2017-01-16","666","1892","threat-knowledge-group",""
"3571","655","1","Presidential Transition Team","Washington, District of Columbia","Presidential Transition Team","Member, U.S. Department of State Landing Team","2016-11-15","2017-01-16","667","12","trump-for-america-inc",""
"3572","656","1","The Trump Organization","New York City, New York","Corporation","Executive Vice President & Chief Legal Officer","1997-01-16","2017-01-16","668","3093","the-trump-organization-inc",""
"3573","656","2","Yeshiva University","New York City, New York","University/Colle ge","Adjunct Professor of Management","2015-01-16","2016-05-16","668","7220","yeshiva-university",""
"3574","656","3","Inspire Conversation Inc","New Milford, New Jersey","Non-Profit","Director","2016-08-16","2017-01-16","668","7221","inspire-conversation-llc",""
"3576","656","5","The Frisch School","Paramus, New Jersey","High School","Member, Board of Trustees","2015-06-16","2016-12-16","668","7222","the-frisch-school",""
"3577","656","6","Sy Syms School of Business","New York City, New York","University/Colle ge","Board Member, Board of Overseers","2015-06-16","2016-12-16","668","7223","sy-syms-school-of-business",""
"3578","657","1","Madrus, LLC","Leesburg, Virginia","Consulting firm","Founder","2017-01-16","2017-01-16","669","7224","madrus-llc",""
"3579","657","2","HDR, Inc.","Omaha, Nebraska","Corporation","Director of Strategic Consulting","2016-01-16","2017-01-16","669","3582","hdr-inc",""
"3580","657","3","Macquarie Capital,","New York, New York","Corporation","Managing Director","2009-02-15","2015-07-16","669","3583","macquarie-capital",""
"3581","657","4","Education for San Pablo, Inc.","Leesburg, Virginia","Non-Profit","Chairman","2010-07-16","2017-03-16","669","7225","education-for-san-pablo-inc",""
"4080","745","1","Cobis Systems Corporation","Great Falls, Virginia","Corporation","Chairman, Board of Directors","1995-01-16","","758","7545","cobis-systems-corporation",""
"4845","236","2","Mingleridge Business Resources","Boulder, Colorado","Corporation","Consultant","2019-03-10","2020-01-17","241","7892","mingleridge-business-resources",""
"3583","658","2","Trump for America","New York, New York","Transition Team","Director of Press","2016-11-15","2017-01-16","670","12","trump-for-america-inc",""
"3584","659","1","Command Consulting Group","Washington, District of Columbia","Corporation","Partner","2009-05-16","2016-12-16","671","3593","command-group",""
"3585","659","2","Fox Factory, Inc","Scotts Valley, California","Corporation","Board Member","2011-06-16","2017-01-16","671","7226","fox-factory-inc",""
"3586","659","3","JWH Consulting LLC","Cincinnati, Ohio","Personal LLC","Managing Member","2008-07-16","2017-01-16","671","7227","jwh-consulting-llc",""
"3588","660","2","Ingraham Radio LLC","Bethesda, Maryland","Corporation","Executive Producer of The Laura Ingraham Show","2013-06-16","2015-01-16","672","3604","ingraham-radio-llc",""
"3589","661","1","American Legacy Center","Reston, Virginia","Non-Profit","Board Member","2016-08-16","2017-01-16","673","3779","american-legacy-center",""
"3590","661","2","Gingrich Productions","Arlington, Virginia","Corporation","VP, Special Projects","2012-06-16","2016-12-16","673","641","gingrich-productions-inc",""
"3591","661","3","Trump for America, Inc.","Washington, District of Columbia","Non-Profit","Adviser","2016-12-16","2017-01-16","673","12","trump-for-america-inc",""
"3592","662","1","CSRA","Falls Church, Virginia","Corporation","BDE","2016-01-16","2017-01-16","674","1924","csra",""
"3593","662","2","TechCentrics, Inc","Alexandria, Virginia","Corporation","Founder & COO","2015-11-15","2017-01-16","674","7228","techcentrics-inc",""
"3594","662","3","SRA International","Fairfax, Virginia","Corporation","CTO","2012-12-16","2016-11-15","674","3607","sra-international",""
"3596","662","5","Command Consulting","Washington, District of Columbia","Corporation","Consultant","2015-10-16","2016-01-16","674","3593","command-group",""
"3597","663","1","Trump Organization","New York, New York","Corporation","Director of Communication s","2014-10-16","2017-01-16","675","3608","the-trump-organization",""
"3598","663","2","Trump for America, Inc.","New York, New York","Presidential Transition Team","Press Secretary","2016-11-15","2017-01-16","675","12","trump-for-america-inc",""
"3599","664","1","Midknight Equity, LLC","Las Vegas, Nevada","Limited Liability Company","Managing Partner","2013-09-16","2017-02-15","676","7230","midknight-equity-llc",""
"3600","667","1","Trump For America Inc.","Washington, District of Columbia","Non-Profit","Volunteer","2016-11-15","2017-01-16","679","12","trump-for-america-inc",""
"3602","668","1","American Israel Public Affairs Committee","Washington, District of Columbia","Non-Profit","Senior Political Analyst","2011-09-16","2015-09-16","680","2150","american-israel-public-affairs-committee",""
"3603","668","2","BTJ Strategies, LLC","Peachtree City, Georgia","Corporation","President","2015-09-16","2017-01-16","680","3609","btj-strategies-llc",""
"3604","669","1","State of Indiana","Indianapolis, Indiana","State Government","Speechwriter","2013-01-16","2016-12-16","681","1876","state-of-indiana",""
"3605","669","2","Trump for America, Inc.","Washington, District of Columbia","Presidential Transition","Speechwriter","2016-12-16","2017-01-16","681","12","trump-for-america-inc",""
"3606","669","3","Donald J. Trump for President, Inc","New York, New York","Presidential Campaign","Policy Advisor and Speechwriter","2016-08-16","2016-11-15","681","1016","donald-j-trump-for-president-inc",""
"3607","67","1","Ohio Coal Association","Columbus, Ohio","Trade Association","President","2013-10-16","2017-04-16","68","3610","ohio-coal-association",""
"3608","670","1","Warburg Pincus LLC","New York, New York","Private Equity Investment Firm","Partner","2010-10-16","2017-01-16","683","1252","warburg-pincus-llc",""
"3611","670","4","Freedom House","Washington, District of Columbia","Non-Profit","Chairman of Board","2009-10-16","2017-01-16","683","7232","freedom-house",""
"3612","670","5","Asia Foundation","San Franscisco, California","Non-Profit","Vice Chairman of Board","2008-09-16","2017-01-16","683","7233","asia-foundation",""
"3613","670","6","Bridgepoint Education","San Diego, California","Corporation","Board Member","2016-08-16","2017-01-16","683","3612","bridgepoint-education",""
"3614","670","7","U. S. India Business Council","Washington, District of Columbia","Advocacy Group","Board Member","2010-11-15","2017-01-16","683","5118","u-s-india-business-council",""
"3615","671","1","Pinnacle West","Phoenix, Arizona","Corporation","Chief of Staff to the Chairman","2014-06-16","2017-01-16","684","3613","pinnacle-west",""
"3616","671","2","Donald J Trump for President","New York, New York","Campaign","Press Director for VP Candidate","2016-07-16","2016-11-15","684","1016","donald-j-trump-for-president-inc",""
"3617","671","3","Trump for America, Inc","Washington, District of Columbia","Non-Profit","Consultant","2016-11-15","2017-01-16","684","12","trump-for-america-inc",""
"3618","672","1","Jones Day","Washington, District of Columbia","Law Firm","Partner","2009-11-15","2017-01-16","685","903","jones-day",""
"3619","672","2","National Federation of Independent Business","Washington, District of Columbia","Non-Profit","Advisory Board","2015-01-16","2017-01-16","685","4625","national-federation-of-independent-business",""
"3620","672","3","Trump for America, Inc.","Washington, District of Columbia","Presidential Transition Team","DOJ/WH Counsel Policy Advisor","2016-11-15","2017-01-16","685","12","trump-for-america-inc",""
"3621","672","4","Family Trust (Inherited IRA)","Boston, Massachusetts","Trust","Trustee","2012-06-16","","685","7234","family-trust-inherited-ira",""
"3622","673","1","GCM Grosvenor","Chicago, Illinois","Corporation","Managing Director","2012-01-16","2017-01-16","686","3622","gcm-grosvenor",""
"3624","673","3","North Astor Street Condo","Chicago, Illinois","Condominium","Treasurer","2015-01-16","2017-02-15","686","7236","north-astor-street-condo","I resigned from this position in February 2017."
"3625","674","1","Cubic Corporation (Provides training and other solutions to military organizations)","San Diego, California","Corporation","Vice President for Corporate Strategy","2015-01-16","2015-02-15","687","7237","cubic-corporation-provides-training-and-other-solutions-to-military-organizations",""
"3626","674","2","Trump Pence Presidential Transition Team","Washington, District of Columbia","Non-Profit","Co-Lead, Defense Landing Team","2016-11-15","2017-01-16","687","12","trump-for-america-inc",""
"3627","675","1","Trump for America, Inc. (PTT)","Washington, District of Columbia","Presidential Transition Team","Deputy Director","2016-08-16","2017-01-16","688","12","trump-for-america-inc",""
"3646","680","11","K GAIA Village 2 Associates, LLC","New York, New York","Limited Liability Company","Non-member Manager","2013-01-16","2017-01-16","693","7249","k-gaia-village-2-associates-llc",""
"3647","680","12","K Stonehage Village 1 Associates, LLC","New York, New York","Limited Liability Company","Managing Member","2013-09-16","2017-01-16","693","7250","k-stonehage-village-1-associates-llc",""
"3648","680","13","Village KF 2 KM, LLC","New York, New York","Limited Liability Company","Non-member Manager","2013-12-16","2017-01-16","693","7251","village-kf-2-km-llc",""
"3649","680","14","Village KF 4-9-10 Associates, LLC - New York, NY","New York, New York","Limited Liability Company","Non-member Manager","2012-12-16","2017-01-16","693","7252","village-kf-4-9-10-associates-llc-new-york-ny",""
"3667","680","32","Monmouth Mall 2, LLC","Florham Park, New Jersey","Limited Liability Company","Non-member Manager","2015-08-16","2017-01-16","693","7270","monmouth-mall-2-llc",""
"3668","680","33","B Monmouth Mall, LLC","Florham Park, New Jersey","Limited Liability Company","Non-member Manager","2015-08-16","2017-01-16","693","7271","b-monmouth-mall-llc",""
"4812","190","2","Associated Builders & Contractors, Inc.","Washington, District of Columbia","Non-Profit","Vice President, Governmental Affairs","2019-12-08","2019-09-15","194","4590","associated-builders-and-contractors",""
"1177","1189","17","United Healthcare","Minneapolis, Minnesota","Corporation","Advisory Board Member","2012-06-16","2015-06-16","1206","2922","unitedhealth-group-incorporated",""
"259","1059","2","University of California, Los Angeles","Los Angeles, California","University/Colle ge","Lecturer in Law","2011-08-16","","1075","3737","university-of-california","The position title of \"Lecturer in Law\" started in January 2016. Prior to this, the position was titled \"Adjunct Professor\" (from August 2011)."
"463","1112","1","Dentons US LLP","Atlanta, Georgia","Law Firm","Partner","2015-07-16","","1129","167","denton-us-llp",""
"2370","1627","1","Deloitte Consulting LLP","Arlington, VA, USA","Business Enterprise","Consultant","2016-01-16","2017-07-16","1640","928","deloitte-touche-tohmatsu-limited",""
"3635","679","2","Trump for America, Inc","Washington, District of Columbia","Non-Profit","Staff Office of Nationwide Engagement","2017-01-16","2017-01-16","692","12","trump-for-america-inc",""
"3636","680","1","184 Kent Associates, LLC","New York, New York","Limited Liability Company","Managing Member","2015-04-16","2017-01-16","693","7239","184-kent-associates-llc",""
"3637","680","2","570 West Mount Pleasant Associates, LLC","Florham Park, New Jersey","Limited Liability Company","Managing Member","2012-01-16","2017-01-16","693","7240","570-west-mount-pleasant-associates-llc",""
"3638","680","3","570 West Mount Pleasant Realty Corp.","Florham Park, New Jersey","Corporation","President","2012-01-16","2017-01-16","693","7241","570-west-mount-pleasant-realty-corp",""
"3639","680","4","Chatham Hill Associates, LLC","Florham Park, New Jersey","Limited Liability Company","Managing Member","2015-09-16","2017-01-16","693","7242","chatham-hill-associates-llc",""
"3640","680","5","Gellert 80 West End, LLC","Florham Park, New Jersey","Limited Liability Company","Managing Member","2013-07-16","2017-01-16","693","7243","gellert-80-west-end-llc",""
"3641","680","6","Gowan Associates, LLC","New York, New York","Limited Liability Company","Managing Member","2014-08-16","2017-01-16","693","7244","gowan-associates-llc",""
"3642","680","7","K 26 Journal Square, LLC","Florham Park, New Jersey","Limited Liability Company","Non-member Manager","2016-09-16","2017-01-16","693","7245","k-26-journal-square-llc",""
"3643","680","8","K 30 Journal Square Manager Corp.","Florham Park, New Jersey","Corporation","President","2013-01-16","2017-01-16","693","7246","k-30-journal-square-manager-corp",""
"3644","680","9","K Astoria, LLC","New York, New York","Limited Liability Company","Non-member Manager","2015-08-16","2017-01-16","693","7247","k-astoria-llc",""
"3645","680","10","K GAIA Village 1 Associates, LLC","New York, New York","Limited Liability Company","Non-member Manager","2012-07-16","2017-01-16","693","7248","k-gaia-village-1-associates-llc",""
"3669","680","34","New Puck Corp.","New York, New York","Corporation","President","2011-06-16","2017-01-16","693","7272","new-puck-corp",""
"3670","680","35","New Puck Residential Corp.","New York, New York","Corporation","Vice President","2013-12-16","2017-01-16","693","7273","new-puck-residential-corp",""
"3671","680","36","STB Building Corp.","New York, New York","Corporation","Vice President","2016-03-16","2017-01-16","693","7274","stb-building-corp",""
"3672","680","37","Skyline Kushner, LLC","Florham Park, New Jersey","Limited Liability Company","Non-member Manager","2012-05-16","2017-01-16","693","7275","skyline-kushner-llc",""
"3719","680","84","KCLW Acquisition Manager","New York, New York","Limited Liability Company","Manager","2015-01-16","2017-01-16","693","7276","kclw-acquisition-manager",""
"4086","750","1","National Cooperative Services Corporation","Dulles, Virginia","Corporation","VP, Federal Relations","2011-04-16","2016-09-16","763","3990","national-cooperative-services-corporation","affiliated with National Rural Utilities Cooperative Finance Corporation and Rural Telephone Finance Cooperative"
"4087","750","2","Rock Solid Countertop","Fairfax, Virginia","Corporation","VP, Marketing","2016-11-15","2016-12-16","763","7550","rock-solid-countertop",""
"4089","752","1","State of Georgia, Department of Economic Development","Atlanta, Georgia","State Government","Director of the Center of Innovation for Logistics","2015-02-15","2017-07-16","765","7551","state-of-georgia-department-of-economic-development",""
"4095","755","4","Georgia Agribusiness Council","Commerce, Georgia","State Agriculture Industry Organization","Secretary","2015-01-16","","768","7555","georgia-agribusiness-council",""
"4099","755","8","Perdue Real Estate Holdings LLLP","Bonaire, Georgia","Limited Liability Limited Partnership","Sole Owner","2010-11-15","","768","7559","perdue-real-estate-holdings-lllp","Perdue Real Estate Holdings LLLP is an empty company which has never held assets nor engaged in any business."
"4110","761","1","Kennesaw State University","Kennesaw, Georgia","University/Colle ge","Executive Director, CIFAL Atlanta, and Assistant Professor of International Policy","2016-01-16","2017-02-15","775","3999","kennesaw-state-university","In January 2016, my role as Executive Director of CIFAL Atlanta, then a 501(c)(3) nonprofit affiliated with the UN Institute for Training and Research, formally folded into Kennesaw State University.  The Center became a part of the Division of Global Affairs, and I received a faculty appointment to the School of Political Science.  Filer resigned from this position on 02/09/17"
"4126","766","1","American Enterprise Institute","Washington, District of Columbia","Non-Profit","State Farm James Q. Wilson Chair in American Politics and Culture  and Director of Research for Domestic Policy","1997-02-15","","779","1256","american-enterprise-institute",""
"2839","1872","1","Deloitte Consulting LLP","San Francisco, California","Corporation","Manager","2016-02-15","2017-06-16","1882","928","deloitte-touche-tohmatsu-limited",""
"3678","680","43","Two Hundred Lafayette Kushner Promote, LLC","New York, New York","Limited Liability Company","Managing Member","2012-01-16","2017-01-16","693","7282","two-hundred-lafayette-kushner-promote-llc",""
"3679","680","44","Warren at Bay Associates, LLC","Florham Park, New Jersey","Limited Liability Company","Non-member Manager","2016-01-16","2017-01-16","693","7283","warren-at-bay-associates-llc",""
"3680","680","45","WT 25 Columbia, LLC","New York, New York","Limited Liability Company","Non-member Manager","2016-08-16","2017-01-16","693","7284","wt-25-columbia-llc",""
"3681","680","46","55 Challenger Road Associates, LLC","Florham Park, New Jersey","Limited Liability Company","Managing Member","2012-06-16","2017-01-16","693","7285","55-challenger-road-associates-llc",""
"3682","680","47","80 ML, LLC","New York, New York","Limited Liability Company","Managing Member","2014-08-16","2017-01-16","693","7286","80-ml-llc",""
"3683","680","48","Stone 16 Associates, LLC","New York, New York","Limited Liability Company","Non-member Manager","2015-03-16","2017-01-16","693","7287","stone-16-associates-llc",""
"3684","680","49","P.V. Development, LLC","Florham Park, New Jersey","Limited Liability Company","Non-member Manager","2015-11-15","2017-01-16","693","7288","p-v-development-llc",""
"3685","680","50","Bruckner Plaza Center Corp.","New York, New York","Corporation","President","2007-01-16","2017-01-16","693","7289","bruckner-plaza-center-corp",""
"3686","680","51","666 KC Management, LLC","New York, New York","Limited Liability Company","Managing Member","2011-10-16","2017-01-16","693","7290","666-kc-management-llc",""
"3687","680","52","JK2 Westminster, LLC","New York, New York","Limited Liability Company","Managing Member","2012-06-16","2016-12-16","693","7291","jk2-westminster-llc",""
"3688","680","53","Westminster Management, LLC","New York, New York","Limited Liability Company","Managing Member","2014-01-16","2017-01-16","693","3625","westminster-management-llc",""
"3689","680","54","Kushner Credit Opportunity Fund, LLC","New York, New York","Limited Liability Company","Managing Member","2016-12-16","2017-01-16","693","7292","kushner-credit-opportunity-fund-llc",""
"3690","680","55","Flatbush 340 Lender, LLC","New York, New York","Limited Liability Company","Non-member Manager","2015-12-16","2017-01-16","693","7293","flatbush-340-lender-llc",""
"3691","680","56","Observer Media, LLC","New York, New York","Limited Liability Company","Managing Member","2014-01-16","2017-01-16","693","3626","observer-media-llc",""
"3692","680","57","Broadband Proliferation Partners, LLC","New York, New York","Limited Liability Company","Managing Member","2012-12-16","2017-01-16","693","7294","broadband-proliferation-partners-llc",""
"3693","680","58","DJNJ Frito, LLC","New York, New York","Limited Liability Company","Non-member Manager","2011-01-16","2017-01-16","693","7295","djnj-frito-llc",""
"3694","680","59","New Jersey Renewable Power Corp.","Florham Park, New Jersey","Corporation","President","2012-05-16","2017-01-16","693","7296","new-jersey-renewable-power-corp",""
"3695","680","60","Westminster Title Associates, LLC","New York, New York","Limited Liability Company","Managing Member","2012-12-16","2017-01-16","693","7297","westminster-title-associates-llc",""
"3696","680","61","Westminster Title Realty Corp.","New York, New York","Corporation","President","2012-12-16","2017-01-16","693","7298","westminster-title-realty-corp",""
"3697","680","62","2 Rector Kushner Member, LLC","New York, New York","Limited Liability Company","Managing Member","2013-06-16","2016-03-16","693","7299","2-rector-kushner-member-llc",""
"3698","680","63","O Townhomes KFF, LP","New York, New York","Limited Partnership","Managing Member","2014-06-16","2016-08-16","693","7300","o-townhomes-kff-lp",""
"3699","680","64","K One Journal Square LLC","New York, New York","Limited Liability Company","Managing Member","2014-02-15","2017-01-16","693","7301","k-one-journal-square-llc",""
"3700","680","65","K2 One Journal Square Member LLC","New York, New York","Limited Liability Company","Manager","2014-12-16","2017-01-16","693","7302","k2-one-journal-square-member-llc",""
"3702","680","67","One Journal Square Tower North Holdings LLC","New York, New York","Limited Liability Company","President & Secretary","2014-12-16","2017-01-16","693","7304","one-journal-square-tower-north-holdings-llc",""
"3703","680","68","One Journal Square Tower South Holdings LLC","New York, New York","Limited Liability Company","President & Secretary","2014-12-16","2017-01-16","693","7305","one-journal-square-tower-south-holdings-llc",""
"3704","680","69","Columbia Corporate Center Building Corp.","Florham Park, New Jersey","Corporation","Vice President","2011-03-16","2017-01-16","693","7306","columbia-corporate-center-building-corp",""
"3706","680","71","25-30 Columbia Heights (Brooklyn) Venture, LLC","New York, New York","Limited Liability Company","Key Person","2016-05-16","2017-01-16","693","7308","25-30-columbia-heights-brooklyn-venture-llc",""
"3707","680","72","K2 26JS Member LLC","New York, New York","Limited Liability Company","Manager","2015-04-16","2017-01-16","693","7309","k2-26js-member-llc",""
"3708","680","73","K2W2 26JS Holdings LLC","New York, New York","Limited Liability Company","President & Secretary","2015-04-16","2017-01-16","693","7310","k2w2-26js-holdings-llc",""
"3709","680","74","Thirty Corp.","Florham Park, New Jersey","Corporation","Vice President","2012-03-16","2017-01-16","693","7311","thirty-corp",""
"3710","680","75","30 Journal Square Partners, LLC","New York, New York","Limited Liability Company","Manager","2013-01-16","2017-01-16","693","7312","30-journal-square-partners-llc",""
"3711","680","76","K 30 Journal Square, LLC","New York, New York","Limited Liability Company","Manager","2013-01-16","2017-01-16","693","7313","k-30-journal-square-llc",""
"3712","680","77","Thirty Vreeland Associates, LLC","Florham Park, New Jersey","Limited Liability Company","Successor Manager","2012-09-16","2017-01-16","693","7314","thirty-vreeland-associates-llc",""
"3713","680","78","Vreeland Investment Realty Corp.","Florham Park, New Jersey","Corporation","Vice President","2008-08-16","2017-01-16","693","7315","vreeland-investment-realty-corp",""
"3715","680","80","Morgan Street Developers Joint Venture, LLC","New York, New York","Limited Liability Company","Manager","2014-07-16","2017-01-16","693","7317","morgan-street-developers-joint-venture-llc",""
"3716","680","81","80 Maid LLC","New York, New York","Limited Liability Company","Manager","2014-08-16","2017-01-16","693","7318","80-maid-llc",""
"3717","680","82","NK 80 Maiden Holdings","New York, New York","Limited Liability Company","Executive Committee","2014-08-16","2017-01-16","693","7319","nk-80-maiden-holdings",""
"3718","680","83","Village KF 2 Associates LLC","New York, New York","Limited Liability Company","President","2013-12-16","2017-01-16","693","7320","village-kf-2-associates-llc",""
"3721","680","86","BLS Investors LLC","New York, New York","Limited Liability Company","President","2014-04-16","2017-01-16","693","7322","bls-investors-llc",""
"3722","680","87","KF-BLS Member LLC","New York, New York","Limited Liability Company","President & Secretary","2014-04-16","2017-01-16","693","7323","kf-bls-member-llc",""
"3723","680","88","BLS Associates LLC","New York, New York","Limited Liability Company","President","2014-04-16","2017-01-16","693","7324","bls-associates-llc",""
"3724","680","89","KF-BLS Portfolio LLC","New York, New York","Limited Liability Company","Manager & President","2014-04-16","2017-01-16","693","7325","kf-bls-portfolio-llc",""
"3726","680","91","27 Monroe Place LLC","New York, New York","Limited Liability Company","Key Person","2014-04-16","2017-01-16","693","7327","27-monroe-place-llc",""
"3727","680","92","38 Monroe Place LLC","New York, New York","Limited Liability Company","Manager","2014-04-16","2017-01-16","693","7328","38-monroe-place-llc",""
"3728","680","93","100 Pierrepoint Street LLC","New York, New York","Limited Liability Company","President","2014-04-16","2017-01-16","693","7329","100-pierrepoint-street-llc",""
"3729","680","94","18 Sydney Place LLC","New York, New York","Limited Liability Company","Managing Member","2014-09-16","2017-01-16","693","7330","18-sydney-place-llc",""
"3730","680","95","89 Hicks Street LLC","New York, New York","Limited Liability Company","Manager","2014-09-16","2017-01-16","693","7331","89-hicks-street-llc",""
"3732","680","97","The Landings, Inc.","Florham Park, New Jersey","Corporation","Executive Vice President & Authorized Signatory","2007-02-15","2017-01-16","693","7333","the-landings-inc",""
"3733","680","98","Chatham Hill Holdings, LLC","New York, New York","Limited Liability Company","Key Person","2015-10-16","2017-01-16","693","7334","chatham-hill-holdings-llc",""
"3734","680","99","Landings Chicago Holding, LLC","New York, New York","Limited Liability Company","Manager","2007-12-16","2017-01-16","693","7335","landings-chicago-holding-llc",""
"3735","680","100","Landings Chicago Member, LLC","New York, New York","Limited Liability Company","Manager","2008-01-16","2017-01-16","693","7336","landings-chicago-member-llc",""
"3736","680","101","Landings Chicago Associates, LLC","New York, New York","Limited Liability Company","Manager","2008-01-16","2017-01-16","693","7337","landings-chicago-associates-llc",""
"3738","680","103","Wallkill Chicago Member, LLC","New York, New York","Limited Liability Company","President","2008-01-16","2017-01-16","693","7339","wallkill-chicago-member-llc",""
"3739","680","104","Wallkill Chicago Associates, LLC","New York, New York","Limited Liability Company","Manager","2008-01-16","2017-01-16","693","7340","wallkill-chicago-associates-llc",""
