id,slug,agency_slug,position_title_1,position_title_2,position_title_3,staffer_id,start_date,end_date,agency_id,grade_level,linkedin_url,organization_name,organization_type,position_held,from_date,to_date,organization_slug
2614,julia-zsuzsa-haller,state,Senior Advisor,,,531,2017-01-23,,4,"$131,767",,Law Offices of Juli Z. Haller,Business Enterprise,Proprietor,2014-03-16,2017-01-16,law-offices-of-juli-z-haller
2615,robert-c-hammond,state,"Special Advisor to Transition, Office of the Secretary","Senior Advisor to the Secretary and Chief of Staff, Office Of Policy Planning",,2119,2017-06-25,2017-12-12,4,"$179,700",,H+K Strategies,Business Enterprise,Employee,2015-10-16,2016-07-16,h-k-strategies
2616,robert-c-hammond,state,"Special Advisor to Transition, Office of the Secretary","Senior Advisor to the Secretary and Chief of Staff, Office Of Policy Planning",,2119,2017-06-25,2017-12-12,4,"$179,700",,HBW Resources,Business Enterprise,Employee,2014-05-16,2015-10-16,hbw-resources
2617,robert-c-hammond,state,"Special Advisor to Transition, Office of the Secretary","Senior Advisor to the Secretary and Chief of Staff, Office Of Policy Planning",,2119,2017-06-25,2017-12-12,4,"$179,700",,The Herald Group,Business Enterprise,Employee,2016-07-16,2017-02-15,the-herald-group
2619,michael-bright,housing-and-urban-development,Executive Vice President and Chief Operating Officer,,,162,2017-07-11,,72,,,The Milken Institute,Non-Profit,Director,2016-06-16,2017-07-16,the-milken-institute
2620,michael-bright,housing-and-urban-development,Executive Vice President and Chief Operating Officer,,,162,2017-07-11,,72,,,PennyMac,Corporation,SVP,2015-05-16,2016-06-16,pennymac
2621,michael-bright,housing-and-urban-development,Executive Vice President and Chief Operating Officer,,,162,2017-07-11,,72,,,BlackRock,Corporation,VP,2014-08-16,2015-06-16,blackrock
2622,paul-janiczek-state,state,"Special Assistant, Bureau Of Arms Control, Verification, And Compliance",,,2123,2017-12-10,,4,,,Donald Trump for President,Non-Profit Organiza tion,Employee,2015-12-16,2016-11-15,donald-j-trump-for-president-inc
2623,paul-janiczek-state,state,"Special Assistant, Bureau Of Arms Control, Verification, And Compliance",,,2123,2017-12-10,,4,,,Imperial Security,Business Enterprise,Employee,2015-12-16,2016-04-16,imperial-security
2625,michael-karloutsos,state,"Deputy Chief of Protocol, Office Of The Chief Of Protocol",,,2125,2017-07-23,2017-12-17,4,"$179,700",,Church Real Estate Development Corporation,Non-Profit Organiza tion,board member,2013-01-16,,church-real-estate-development-corporation
2626,michael-karloutsos,state,"Deputy Chief of Protocol, Office Of The Chief Of Protocol",,,2125,2017-07-23,2017-12-17,4,"$179,700",,Konstantinos Karamalis Institute,Educational Institu tion,board member,2016-01-16,,konstantinos-karamalis-institute
2627,michael-karloutsos,state,"Deputy Chief of Protocol, Office Of The Chief Of Protocol",,,2125,2017-07-23,2017-12-17,4,"$179,700",,MAK Consulting LLC,Business Enterprise,Proprietor,2003-08-16,,mak-consulting-llc
2628,michael-karloutsos,state,"Deputy Chief of Protocol, Office Of The Chief Of Protocol",,,2125,2017-07-23,2017-12-17,4,"$179,700",,PK Enterprises,Business Enterprise,General Partner,2015-08-16,2016-03-16,pk-enterprises
2629,michael-karloutsos,state,"Deputy Chief of Protocol, Office Of The Chief Of Protocol",,,2125,2017-07-23,2017-12-17,4,"$179,700",,Thea at the Waterworks LLC,Business Enterprise,General Partner,2005-03-16,2015-09-16,thea-at-the-waterworks-llc
2631,william-k-killion,state,"Special Assistant, Office Of The Secretary","Special Assistant, Bureau Of Legislative Affairs",,2127,2017-09-17,,4,"$79,720",,Assembly Republican Office,State Government,Employee,2015-11-15,2015-12-16,assembly-republican-office
2632,william-k-killion,state,"Special Assistant, Office Of The Secretary","Special Assistant, Bureau Of Legislative Affairs",,2127,2017-09-17,,4,"$79,720",,Assembly Republican Victory,Political campaign,Executive Director,2014-12-16,2015-11-15,assembly-republican-victory
2633,william-k-killion,state,"Special Assistant, Office Of The Secretary","Special Assistant, Bureau Of Legislative Affairs",,2127,2017-09-17,,4,"$79,720",,Donald J Trump for President,Political campaign,Regional Field Direc tor,2016-08-16,2016-11-15,donald-j-trump-for-president-inc
2634,william-k-killion,state,"Special Assistant, Office Of The Secretary","Special Assistant, Bureau Of Legislative Affairs",,2127,2017-09-17,,4,"$79,720",,Lance for Congress,Political campaign,Campaign Manager,2015-12-16,2016-06-16,lance-for-congress
2636,peter-marocco,state,"Deputy Assistant Secretary, Bureau Of Conflict And Stabilization Operations",,,2129,2018-01-07,,4,,,"Jackson Gage, LLC",Business Enterprise,member (former),2015-04-16,2017-11-15,jackson-gage-llc
2637,kyle-d-maxwell,white-house-office,Deputy Director of Scheduling,,,2130,,,14,"$77,000",,Office of the Governor,State Government,Director,2014-03-16,2017-03-16,office-of-the-governor
2638,john-mccarrick,state,"Deputy Assistant Secretary, Bureau Of Energy Resources",,,2131,2017-07-23,,4,"$179,700",,JEM Consulting,Business Enterprise,Founder,2016-01-16,,jem-consulting
2639,scott-mcclintock,state,"Staff Assistant, Office Of The Secretary","Special Assistant, Bureau Of Legislative Affairs",,2132,2017-10-15,,4,"$79,720",,"Committee on Arrangements, RNC",Non-Profit Organiza tion,Employee,2016-02-15,2016-08-16,committee-on-arrangements-rnc
2640,scott-mcclintock,state,"Staff Assistant, Office Of The Secretary","Special Assistant, Bureau Of Legislative Affairs",,2132,2017-10-15,,4,"$79,720",,Mississippi 2016,Non-Profit Organiza tion,Director,2015-11-15,2016-01-16,mississippi-2016
2641,scott-mcclintock,state,"Staff Assistant, Office Of The Secretary","Special Assistant, Bureau Of Legislative Affairs",,2132,2017-10-15,,4,"$79,720",,Office of the Governor,Government,Employee,2013-06-16,2015-11-15,office-of-the-governor
2642,scott-mcclintock,state,"Staff Assistant, Office Of The Secretary","Special Assistant, Bureau Of Legislative Affairs",,2132,2017-10-15,,4,"$79,720",,President-Elect Transition,Non-Profit Organiza tion,Volunteer,2016-12-16,2017-01-16,president-elect-transition
2643,scott-mcclintock,state,"Staff Assistant, Office Of The Secretary","Special Assistant, Bureau Of Legislative Affairs",,2132,2017-10-15,,4,"$79,720",,"The Hawthorn Group, LC",Business Enterprise,Employee,2016-09-16,2016-12-16,the-hawthorn-group-lc
2645,john-mcinnis,state,"Senior Advisor, Office Of Policy Planning",,,2133,2017-09-25,,4,"$161,900",,Greenmantle,Business Enterprise,Consultant,2016-07-16,,greenmantle
2646,john-mcinnis,state,"Senior Advisor, Office Of Policy Planning",,,2133,2017-09-25,,4,"$161,900",,"Osen, LLC",Business Enterprise,Consultant,2014-10-16,,osen-llc
2647,sally-mcleod,state,"Staff Assistant (Gifts), Office Of The Chief Of Protocol",,,2134,2017-10-29,,4,"$54,972",,The Citadel ,Educational Institu tion,Employee,2014-08-16,2017-06-16,the-citadel
2648,georgette-mosbacher,state,"Ambassador, Poland",,,2135,2018-02-13,,4,,,"Georgette Mosbacher Enterprises, Inc.",Corporation,President,1992-01-16,,georgette-mosbacher-enterprises-inc
2649,georgette-mosbacher,state,"Ambassador, Poland",,,2135,2018-02-13,,4,,,The Foreign Policy Association,Non-Profit,Fellow,2002-01-16,,the-foreign-policy-association
2651,georgette-mosbacher,state,"Ambassador, Poland",,,2135,2018-02-13,,4,,,Indiana University Foundation,University/Colle ge,Board Member,1991-01-16,,indiana-university-foundation
2652,georgette-mosbacher,state,"Ambassador, Poland",,,2135,2018-02-13,,4,,,Royal United Services Institute,Non-Profit,Board Member and Chair of Public Diplomacy Commission,2011-01-16,2015-01-16,royal-united-services-institute
2653,georgette-mosbacher,state,"Ambassador, Poland",,,2135,2018-02-13,,4,,,Atlantic Council,Non-Profit,Board Member,2011-01-16,,atlantic-council
2654,georgette-mosbacher,state,"Ambassador, Poland",,,2135,2018-02-13,,4,,,Business Executives For National Security,Non-Profit,Board Member,2015-01-16,2016-10-16,business-executives-for-national-security
2655,georgette-mosbacher,state,"Ambassador, Poland",,,2135,2018-02-13,,4,,,Intrepid Fallen Heroes Fund,Non-Profit,Trustee,2011-01-16,2016-11-15,intrepid-fallen-heroes-fund
2657,georgette-mosbacher,state,"Ambassador, Poland",,,2135,2018-02-13,,4,,,"Fox News Network, LLC",Limited Liability Company,Contributor,2015-09-16,2017-01-16,fox-news-network-llc-5bd938cc-2d91-45b0-b694-cac7a80b3192
5116,jeffrey-waksman,national-aeronautics-and-space-administration,Special Assistant to the Administrator,,,1347,2017-01-20,,26,"$131,767",,President Elect Transition Team,Non-profit,Landing Team Member,2016-12-16,2017-01-16,trump-for-america-inc
2660,georgette-mosbacher,state,"Ambassador, Poland",,,2135,2018-02-13,,4,,,Brasilinvest,Corporation,"Member, Board of Advisors",2006-01-16,2017-01-16,brasilinvest
2661,georgette-mosbacher,state,"Ambassador, Poland",,,2135,2018-02-13,,4,,,"Tufts University,  Friends of Fletcher Society",University/Colle ge,Member,2014-01-16,2017-01-16,tufts-university-friends-of-fletcher-society
2662,georgette-mosbacher,state,"Ambassador, Poland",,,2135,2018-02-13,,4,,,"Tufts University, Edward R. Murrow Center",University/Colle ge,Board member,2017-01-16,,tufts-university-edward-r-murrow-center
2663,georgette-mosbacher,state,"Ambassador, Poland",,,2135,2018-02-13,,4,,,Wall Street Week,Corporation,Advisory Board Member,2015-01-16,,wall-street-week
2664,georgette-mosbacher,state,"Ambassador, Poland",,,2135,2018-02-13,,4,,,WISeKey USA,Corporation,Advisory Board Member,2016-01-16,,wisekey-usa
2666,andrew-peek,state,"Deputy Assistant Secretary, Bureau Of Near Eastern Affairs",,,2137,2017-12-10,,4,,,American Foreign Policy Council,Non-Profit Organiza tion,Fellow,2015-01-16,2017-05-16,american-foreign-policy-council
2667,andrew-peek,state,"Deputy Assistant Secretary, Bureau Of Near Eastern Affairs",,,2137,2017-12-10,,4,,,Claremont McKenna College,Educational Institu tion,Employee,2015-07-16,2016-06-16,claremont-mckenna-college
2668,andrew-peek,state,"Deputy Assistant Secretary, Bureau Of Near Eastern Affairs",,,2137,2017-12-10,,4,,,Johns Hopkins University,Educational Institu tion,Doctoral candidate,2012-08-16,,johns-hopkins-university
2669,andrew-peek,state,"Deputy Assistant Secretary, Bureau Of Near Eastern Affairs",,,2137,2017-12-10,,4,,,Pepperdine University,Educational Institu tion,Employee,2015-08-16,,pepperdine-university
2671,andrew-peek,state,"Deputy Assistant Secretary, Bureau Of Near Eastern Affairs",,,2137,2017-12-10,,4,,,University of Texas,Educational Institu tion,Employee,2017-08-16,,university-of-texas
2672,john-a-rauch,state,"Staff Assistant, Office Of The Secretary","Staff Assistant, Office Of The Under Secretary For Management",,2138,2017-08-15,,4,"$66,510",,Domicile Real Estate Brokerage,Business Enterprise,Employee,2013-09-16,2016-05-16,domicile-real-estate-brokerage
2673,ory-s-rinat-state,state,"Special Advisor To Transition, Office Of The Secretary","Deputy Coordinator, Bureau Of International Information Programs",,2139,2017-02-06,2017-09-30,4,"$161,900",,General Assembly,Educational Institu tion,Teacher,2016-05-16,,general-assembly
2674,ory-s-rinat-state,state,"Special Advisor To Transition, Office Of The Secretary","Deputy Coordinator, Bureau Of International Information Programs",,2139,2017-02-06,2017-09-30,4,"$161,900",,Self,Business Enterprise,Marketing consulting  work,2015-01-16,,self
2675,ory-s-rinat-state,state,"Special Advisor To Transition, Office Of The Secretary","Deputy Coordinator, Bureau Of International Information Programs",,2139,2017-02-06,2017-09-30,4,"$161,900",,The Heritage Foundation,Non-Profit Organiza tion,Employee,2015-02-15,2017-01-16,the-heritage-foundation
2676,ryan-p-shellooe,state,"Special Assistant, Office Of The Secretary","Special Assistant, Office Of The Under Secretary For Management",,2140,2017-09-03,,4,"$79,720",,58th Presidential Inaugural Committee,Non-Profit Organiza tion,Employee,2016-12-16,2017-01-16,58th-presidential-inaugural-committee
2678,ryan-p-shellooe,state,"Special Assistant, Office Of The Secretary","Special Assistant, Office Of The Under Secretary For Management",,2140,2017-09-03,,4,"$79,720",,Leadership Institute,Non-Profit Organiza tion,Employee,2016-03-16,2016-08-16,the-leadership-institute
2679,william-steiger,state,"Special Advisor to Transition, Office Of The Secretary",,,2141,2017-03-07,2017-05-13,4,"$161,900",,Comegys LLC,Business Enterprise,General Partner,2013-10-16,,comegys-llc
2680,william-steiger,state,"Special Advisor to Transition, Office Of The Secretary",,,2141,2017-03-07,2017-05-13,4,"$161,900",,Pink Ribbon Red Ribbon,Non-Profit Organiza tion,Officer,2013-05-16,2017-03-16,pink-ribbon-red-ribbon
2681,kristi-boswell,agriculture,Senior Advisor,Senior Advisor,,131,2017-04-30,,1,"$140,552",https://www.linkedin.com/in/kristi-boswell-b3696819/,AMERICAN FARM BUREAU FEDERATION,Non-Profit,DIRECTOR CONGRESSIONA L RELATIONS,2012-03-16,2017-04-16,american-farm-bureau-federation
2682,brady-brookes,health-and-human-services,Special Assistant,Deputy Chief of Staff,,166,2017-01-20,2017-03-04,38,"$97,956",https://www.linkedin.com/in/brady-brookes-0216227/,Office of Governor Mike Pence,Government,Legislative Director,2015-07-16,2017-01-16,office-of-governor-mike-pence
2684,marik-string,state,"Senior Advisor to the Deputy Secretary, Office Of The Deputy Secretary",,,2143,2017-07-23,,4,"$179,700",,The Atlantic Council,Non-Profit Organiza tion,Nonresident Senior F ellow,2013-10-16,,the-atlantic-council
2685,marik-string,state,"Senior Advisor to the Deputy Secretary, Office Of The Deputy Secretary",,,2143,2017-07-23,,4,"$179,700",,Wilmer Cutler Pickering Hale and Dorr LLP,Business Enterprise,Employee,2013-04-16,,wilmer-cutler-pickering-hale-and-dorr-llp
2686,christian-whiton,state,"Special Advisor to Transition, Office Of The Secretary",,,2145,2017-02-08,,4,"$136,160",,Hamilton Foundation,Non-Profit Organiza tion,President,2009-01-16,,hamilton-foundation
2687,christian-whiton,state,"Special Advisor to Transition, Office Of The Secretary",,,2145,2017-02-08,,4,"$136,160",,Sailing Facility Ltd.,Non-Profit Organiza tion,Treasurer/Secretary,2015-06-16,,sailing-facility-ltd
2689,thomas-fiorentino,transportation,"Consultant, Immediate Office of the Secretary",,,2148,2017-01-31,,52,"$126,148-$189,600",,"The Fiorentino Group, LLC",Corporation,President,2002-01-16,,the-fiorentino-group-llc
2690,thomas-fiorentino,transportation,"Consultant, Immediate Office of the Secretary",,,2148,2017-01-31,,52,"$126,148-$189,600",,"TuckerHall, Inc.",Corporation,Shareholder,2012-01-16,,tuckerhall-inc
2691,thomas-fiorentino,transportation,"Consultant, Immediate Office of the Secretary",,,2148,2017-01-31,,52,"$126,148-$189,600",,Baptist Health Systems Foundation Board of Directors,Non-Profit,Director,2015-01-16,,baptist-health-systems-foundation-board-of-directors
2692,thomas-fiorentino,transportation,"Consultant, Immediate Office of the Secretary",,,2148,2017-01-31,,52,"$126,148-$189,600",,Florida Gubernatorial Fellows Board,Intern Program for Florida Governor,Director,2014-11-15,,florida-gubernatorial-fellows-board
2693,cathy-foster-gautreaux,transportation,Deputy Administrator,,,2149,2017-11-13,,52,"$179,700",,"Louisiana Motor Transport Assn., Inc.",Non-Profit,Exeuctive Director,1985-03-16,2017-11-15,louisiana-motor-transport-assn-inc
2695,john-brooks,health-and-human-services,Special Assistant,Counselor for Health Policy,,167,2017-01-20,,38,"$179,700",https://www.linkedin.com/in/john-brooks-ab638219/,The MITRE Corporation,Non-Profit,"Sr. Principal, Department Head",2011-08-16,2017-01-16,the-mitre-corporation
2696,victoria-n-hildebrand,transportation,Chief Information Officer,,,2150,2017-10-23,,52,"$179,700",,Hewlett-Packard Enterprise,Corporation,Customer Advocacy,2015-11-15,2017-09-16,hewlett-packard-enterprise
2697,randi-f-hutchinson,transportation,Chief Counsel,,,609,2017-05-14,,52,"$179,700",,Greenberg Traurig,Law Firm,Of Counsel,2014-07-16,2017-04-16,greenberg-traurig
2698,kristine-iverson,transportation,"Consultant, Immediate Office of the Secretary",,,2151,2017-02-07,,52,"$126,148-$189,600",,Jefferson Women's Thursday Golf League,Non-Profit,Secretary,2014-11-15,,jefferson-women-s-thursday-golf-league
2699,charles-james,transportation,"Director, Office of Civil Rights",,,623,2017-06-12,,52,"$160,000",,"National Right to Life Committee, Inc.",Non-Profit,Director At Large,2015-11-15,,national-right-to-life-committee-inc
2700,daphne-jefferson,transportation,"Senior Advisor For Shared Services, Assistant Secretary For Administration",,,2152,2018-01-08,,52,,,"J&J Sons, LLC",LLC - owns property,co-owner,2010-09-16,,j-j-sons-llc
2701,daphne-jefferson,transportation,"Senior Advisor For Shared Services, Assistant Secretary For Administration",,,2152,2018-01-08,,52,,,American University Key Executive Program,University/Colle ge,Advisory Board Member,2016-09-16,,american-university-key-executive-program
2702,daphne-jefferson,transportation,"Senior Advisor For Shared Services, Assistant Secretary For Administration",,,2152,2018-01-08,,52,,,North Star Housing Alliance,Non-Profit,Director,2016-02-15,,north-star-housing-alliance
2703,daphne-jefferson,transportation,"Senior Advisor For Shared Services, Assistant Secretary For Administration",,,2152,2018-01-08,,52,,,Jefferson Consulting Group,LLC - Leadership Coaching and Consulting,Owner,2017-06-16,,jefferson-consulting-group
2705,andrew-r-kloster,transportation,Legal Advisor to the General Counsel,,,2154,2017-10-01,,52,"$153,730",,The Heritage Foundation,Non-Profit,Legal Fellow,2012-12-16,2016-08-16,the-heritage-foundation
5121,brooke-vosburgh-alexander,commerce,Senior Advisor,,,18,2017-02-27,2018-01-05,43,"$153,730",,Chesapeake Bay Maritime Musuem,Non-Profit,Exec. Assist to the President,,,chesapeake-bay-maritime-musuem
2707,mala-krishnamoorti,transportation,Associate Administrator for Highway Policy and External Affairs,,,717,2017-07-24,,52,"$179,700",,American Trucking Associations,Non-Profit,Vice President for Coalitions,2015-03-16,2017-07-16,american-trucking-associations-inc
2708,christina-brown,housing-and-urban-development,Senior Counsel,,,171,2017-06-26,,72,"$131,767",,"Rich Rosenthal Brincefield Manitta Dzubin & Kroeger, LLP",Law Firm,Associate,2014-09-16,2017-06-16,rich-rosenthal-brincefield-manitta-dzubin-kroeger-llp
2709,monica-y-kuo,transportation,Special Assistant,,,2156,2017-10-01,,52,"$94,796",,Global Development Incubator,Non-Profit,Finance Senior Associate,2015-06-16,2017-09-16,global-development-incubator
2710,mark-steven-lillie,transportation,Chief Counsel,,,2157,2018-01-08,,52,,,Kirkland & Ellis LLP,Law Firm,Partner,1984-09-16,2018-01-16,kirkland-ellis-llp
2712,brigham-mccown,transportation,"Consultant, Office of the General Counsel",,,2159,2017-01-30,,52,"$126,148-$189,600",,National Infrastructure Safety Foundation,Non-Profit,Founder / CEO / Chairman,2014-01-16,,national-infrastructure-safety-foundation
2713,brigham-mccown,transportation,"Consultant, Office of the General Counsel",,,2159,2017-01-30,,52,"$126,148-$189,600",,Kilgore McCown PLLC,Law Firm,Co-managing partner,2015-07-16,,kilgore-mccown-pllc
2714,brigham-mccown,transportation,"Consultant, Office of the General Counsel",,,2159,2017-01-30,,52,"$126,148-$189,600",,United Transportation Advisors/Nouveau Consulting,Corporation,Managing Director,2013-01-16,,united-transportation-advisors-nouveau-consulting
2715,brigham-mccown,transportation,"Consultant, Office of the General Counsel",,,2159,2017-01-30,,52,"$126,148-$189,600",,Nouveau Inc.,Corporation,President,2013-01-16,,nouveau-inc
2717,jonathan-c-morrison,transportation,Chief Counsel,,,2160,2017-11-13,,52,"$179,700",,"Auto Advisory Services, Inc.",Corporation,President,2014-03-16,2017-10-16,auto-advisory-services-inc
2718,jonathan-c-morrison,transportation,Chief Counsel,,,2160,2017-11-13,,52,"$179,700",,California Automotive Business Coalition,Non-Profit,Director,2015-06-16,2017-10-16,california-automotive-business-coalition
2719,jonathan-c-morrison,transportation,Chief Counsel,,,2160,2017-11-13,,52,"$179,700",,California Bureau of Automotive Repair Advisory Group,Governmental Appointed Advisory Group,Member,2014-06-16,2017-10-16,california-bureau-of-automotive-repair-advisory-group
2720,trent-morse,transportation,Special Assistant,,,2161,2017-09-03,,52,"$79,720",,Florida Deparment of Transportation,State of Florida,Law Clerk,2017-01-16,2017-04-16,florida-deparment-of-transportation
2722,trent-morse,transportation,Special Assistant,,,2161,2017-09-03,,52,"$79,720",,Florida East Coast Industries,Corporation,Corporate Development Associate,2016-05-16,2017-08-16,florida-east-coast-industries
2723,edmund-moy,transportation,"Consultant, Office of the Deputy Secretary",,,2162,2017-02-13,,52,"$126,148-$189,600",,Trinity International University,University/Colle ge,Board of Regents,2016-06-16,,trinity-international-university
2724,edmund-moy,transportation,"Consultant, Office of the Deputy Secretary",,,2162,2017-02-13,,52,"$126,148-$189,600",,Newsmax.com,Corporation,Contributor,2013-08-16,,newsmax-com
2725,edmund-moy,transportation,"Consultant, Office of the Deputy Secretary",,,2162,2017-02-13,,52,"$126,148-$189,600",,Seattle Pacific University,University/Colle ge,"Advisory Board Member, School of Business and Economics",,,seattle-pacific-university
2726,edmund-moy,transportation,"Consultant, Office of the Deputy Secretary",,,2162,2017-02-13,,52,"$126,148-$189,600",,Whitman Publishing,Corporation,Author,2013-12-16,,whitman-publishing
2728,edmund-moy,transportation,"Consultant, Office of the Deputy Secretary",,,2162,2017-02-13,,52,"$126,148-$189,600",,U.S. Money Reserve,Corporation,Consultant,2016-08-16,,u-s-money-reserve
2729,edmund-moy,transportation,"Consultant, Office of the Deputy Secretary",,,2162,2017-02-13,,52,"$126,148-$189,600",,Lone Star Tangible Assets,Corporation,Consultant,2016-07-16,,lone-star-tangible-assets
2730,edmund-moy,transportation,"Consultant, Office of the Deputy Secretary",,,2162,2017-02-13,,52,"$126,148-$189,600",,ICOx Innovations,Corporation,Board of Directors,2018-02-15,,icox-innovations
2731,edmund-moy,transportation,"Consultant, Office of the Deputy Secretary",,,2162,2017-02-13,,52,"$126,148-$189,600",,AID:Tech,Corporation,Board of Advisors,2017-01-16,,aid-tech
2732,edmund-moy,transportation,"Consultant, Office of the Deputy Secretary",,,2162,2017-02-13,,52,"$126,148-$189,600",,"Valaurum, Inc.",Corporation,Board of Advisors,2017-10-16,,valaurum-inc
2733,edmund-moy,transportation,"Consultant, Office of the Deputy Secretary",,,2162,2017-02-13,,52,"$126,148-$189,600",,OmniSparx,Corporation,Executive Advisor,2018-03-16,,omnisparx
2735,drue-pearce,transportation,Deputy Administrator,,,2164,2017-08-07,,52,"$179,700",,"Holland & Hart, LLP",Law Firm,Director of Government Affairs,2017-01-16,2017-08-16,holland-hart-llp
2736,drue-pearce,transportation,Deputy Administrator,,,2164,2017-08-07,,52,"$179,700",,"Crowell & Moring, LLP",Law Firm,Senior Policy Advisor,2010-11-15,2017-01-16,crowell-moring-llp
2737,drue-pearce,transportation,Deputy Administrator,,,2164,2017-08-07,,52,"$179,700",,Marine Exchange of Alaska,Non-Profit,Board Member,2011-01-16,2017-10-16,marine-exchange-of-alaska
2738,drue-pearce,transportation,Deputy Administrator,,,2164,2017-08-07,,52,"$179,700",,The Institute of the North,Non-Profit,Board Member,2010-01-16,2017-10-16,the-institute-of-the-north
2739,sean-d-poole,transportation,Special Assistant,,,2165,2017-08-20,,52,"$66,510",,Connors & Company Investment Services,Corporation,Analyst,2014-05-16,2017-08-16,connors-company-investment-services
2740,andrew-charles-post,transportation,Deputy Press Secretary,,,2166,2017-05-14,,52,"$112,021",,Charles Koch Institute,Non-Profit,Media Relations,2015-05-16,2016-01-16,charles-koch-institute
2742,james-d-ray,transportation,Unpaid Consultant,Senior Advisor to the Secretary for Infrastructure,,1083,2017-02-02,,52,EF,,KPMG,LLP,Partner,2012-08-16,2017-01-16,kpmg-llp
2743,james-d-ray,transportation,Unpaid Consultant,Senior Advisor to the Secretary for Infrastructure,,1083,2017-02-02,,52,EF,,Kapsch,Corporation,Advisory Board Member,2009-05-16,,kapsch
2744,daniel-elwell,transportation,"Consultant, Office of the Under Secretary of Transportation for Policy",,,2167,2017-01-30,,52,"$126,148-$189,600",,Navio Systems,LLC,Advisory Board Member,2016-06-16,2016-02-15,navio-systems
2745,daniel-elwell,transportation,"Consultant, Office of the Under Secretary of Transportation for Policy",,,2167,2017-01-30,,52,"$126,148-$189,600",,InterVISTAS,Limited Company,Advisory Board Member,2015-07-16,2016-04-16,intervistas
2746,daniel-elwell,transportation,"Consultant, Office of the Under Secretary of Transportation for Policy",,,2167,2017-01-30,,52,"$126,148-$189,600",,Elwell & Associates,LLC,President,2015-02-15,,elwell-associates
2747,juan-d-reyes,transportation,Chief Counsel,,,2168,2017-09-25,,52,"$179,700",,Seyfarth Shaw,Law Firm,Partner,2013-01-16,2017-09-16,seyfarth-shaw
2748,benjamin-j-siegrist,transportation,Special Assistant Scheduling and Advance,,,1197,2017-02-28,,52,"$79,720",,National Hay Association,Trade Association,Executive Director,2016-09-16,2017-02-15,national-hay-association
2750,douglas-simon,transportation,White House Liaison,,,2170,2017-11-26,,52,"$161,900",,Sagac Public Affairs,Corporation,Vice President of Strategic Initiatives,2015-01-16,2015-10-16,sagac-public-affairs
2751,louis-adolph-brown,health-and-human-services,Senior Advisor for Operations,,,174,2017-07-09,,38,"$112,021",,Christ Medicus Foundation/CMF CURO,Non-Profit,"Director, CMF CURO",2014-08-16,2017-07-16,christ-medicus-foundation-cmf-curo
2752,louis-adolph-brown,health-and-human-services,Senior Advisor for Operations,,,174,2017-07-09,,38,"$112,021",,One Nation Health,Non-Profit,Member of the Board,2017-01-16,2017-07-16,one-nation-health
2753,louis-adolph-brown,health-and-human-services,Senior Advisor for Operations,,,174,2017-07-09,,38,"$112,021",,Asset Health,Corporation,Leased Employee,2014-09-16,2015-05-16,asset-health
5126,morgan-bedan,commerce,"Scheduler, Office of the Chief of Staff",,,86,2017-07-10,2018-03-03,43,"$66,510",https://www.linkedin.com/in/morgan-bedan-9aa06a39/,Michigan Governor's Executive Office,State Government,Scheduling Government,,,michigan-governor-s-executive-office
2756,louis-adolph-brown,health-and-human-services,Senior Advisor for Operations,,,174,2017-07-09,,38,"$112,021",,Levin Center,Non-Profit,"Member, Advisory Board",2015-05-16,2017-07-16,levin-center
2757,louis-adolph-brown,health-and-human-services,Senior Advisor for Operations,,,174,2017-07-09,,38,"$112,021",,Augustine Institute,Non-Profit,Presenter for 'Forgiven' Video Program,2016-06-16,2016-06-16,augustine-institute
2758,louis-adolph-brown,health-and-human-services,Senior Advisor for Operations,,,174,2017-07-09,,38,"$112,021",,Intentional Disciples 9:16/Renewal Ministries,Non-Profit,One Day - Presenter,2016-01-16,2016-01-16,intentional-disciples-9-16-renewal-ministries
2759,louis-adolph-brown,health-and-human-services,Senior Advisor for Operations,,,174,2017-07-09,,38,"$112,021",,St. Paul Street Evangelization,Non-Profit,"Member, Board of Directors",2013-01-16,2017-07-16,st-paul-street-evangelization
2760,louis-adolph-brown,health-and-human-services,Senior Advisor for Operations,,,174,2017-07-09,,38,"$112,021",,"Wayne County, Michigan",County Government,Consultant/Expe rt Services,2014-10-16,2016-09-16,wayne-county-michigan
2761,george-bryan-slater,transportation,Assistant Secretary,Assistant Secretary for Administration and Management,,1213,2017-02-13,2017-10-04,52,"$126,148-$189,600",,Freedom Partners Shared Services,Non-Profit,Director of Operations,2014-02-15,2017-02-15,freedom-partners-shared-services
2762,thelma-drake,transportation,Federal Transit Administrator,,,2171,2018-02-14,,52,,,"City of Norfolk, VA",Local government,Assistant Director Public Works - Transportation,2016-09-16,,city-of-norfolk-va
2763,thelma-drake,transportation,Federal Transit Administrator,,,2171,2018-02-14,,52,,,"City of Norfolk, VA",Local Government,Strategic Transportation Planner,2015-05-16,2016-09-16,city-of-norfolk-va
2765,thelma-drake,transportation,Federal Transit Administrator,,,2171,2018-02-14,,52,,,The Healing Place,Non-Profit,Board Member,2015-01-16,2017-09-16,the-healing-place
2766,thelma-drake,transportation,Federal Transit Administrator,,,2171,2018-02-14,,52,,,The Hampton Roads Home Team,Corporation,Vice President,2004-12-16,,the-hampton-roads-home-team
